rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
26,barkuperman/tlv-mod,TLV-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,0,-83,112,29,112,112,snapshot_2026_03_31.json,snapshot_2026_03_30.json
27,crumpetime/sb-maps-msn,sb-maps-msn,crumpetime,crumpetime,https://github.com/crumpetime,1,0,-60,104,44,104,104,snapshot_2026_03_31.json,snapshot_2026_03_30.json
28,danield1909/improvedtwincities,improvedTwinCities,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,0,-56,92,36,92,92,snapshot_2026_03_31.json,snapshot_2026_03_30.json
29,crumpetime/sb-maps-orf,sb-maps-orf,crumpetime,crumpetime,https://github.com/crumpetime,1,0,-59,85,26,85,85,snapshot_2026_03_31.json,snapshot_2026_03_30.json
30,barkuperman/jerusalem-sb-map,jerusalem-sb-map,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,0,-59,81,22,81,81,snapshot_2026_03_31.json,snapshot_2026_03_30.json
31,soccerjonj/providence,Providence,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,-59,72,13,72,72,snapshot_2026_03_31.json,snapshot_2026_03_30.json
32,soccerjonj/colorado-ski-country,Colorado-Ski-Country,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,-59,71,12,71,71,snapshot_2026_03_31.json,snapshot_2026_03_30.json
33,nzh0172/sb-malaysia-map-pack,sb-malaysia-map-pack,nzh0172,nzh0172,https://github.com/nzh0172,1,0,-39,66,27,66,66,snapshot_2026_03_31.json,snapshot_2026_03_30.json
34,soccerjonj/louisville,Louisville,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,-59,59,0,59,59,snapshot_2026_03_31.json,snapshot_2026_03_30.json
35,soccerjonj/sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,-58,58,0,58,58,snapshot_2026_03_31.json,snapshot_2026_03_30.json
36,crumpetime/sb-maps-xna,sb-maps-xna,crumpetime,crumpetime,https://github.com/crumpetime,1,0,-55,55,0,55,55,snapshot_2026_03_31.json,snapshot_2026_03_30.json
37,soccerjonj/albany,Albany,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,-42,53,11,53,53,snapshot_2026_03_31.json,snapshot_2026_03_30.json
38,crumpetime/sb-maps-las,sb-maps-las,crumpetime,crumpetime,https://github.com/crumpetime,1,0,-6,52,46,52,52,snapshot_2026_03_31.json,snapshot_2026_03_30.json
39,soccerjonj/nashville,Nashville,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,-50,50,0,50,50,snapshot_2026_03_31.json,snapshot_2026_03_30.json
40,pswbsf/piedmont-triad,piedmont-triad,PSWBSF,PSWBSF,https://github.com/PSWBSF,1,0,-3,21,18,21,21,snapshot_2026_03_31.json,snapshot_2026_03_30.json
41,bobby-047/some-new-trains,Some-new-Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,0,0,0,0,0,0,snapshot_2026_03_31.json,snapshot_2026_03_30.json
