rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
61,map,warsaw-val,Warsaw,Valdotorium,Valdotorium,https://github.com/Valdotorium,0,-14,68,54,68,68,snapshot_2026_03_31.json,snapshot_2026_03_30.json
62,map,yukina-kagoshima-kirishima,鹿児島 (Kagoshima),ahkimn,Yukina-,https://github.com/ahkimn,0,-63,68,5,68,68,snapshot_2026_03_31.json,snapshot_2026_03_30.json
63,map,greater-kuala-lumpur,Greater Kuala Lumpur,nzh0172,nzh0172,https://github.com/nzh0172,0,-39,66,27,66,66,snapshot_2026_03_31.json,snapshot_2026_03_30.json
64,map,yukina-kochi,高知 (Kōchi),ahkimn,Yukina-,https://github.com/ahkimn,0,-59,65,6,65,65,snapshot_2026_03_31.json,snapshot_2026_03_30.json
65,map,yukina-yamagata,山形 (Yamagata),ahkimn,Yukina-,https://github.com/ahkimn,0,-54,64,10,64,64,snapshot_2026_03_31.json,snapshot_2026_03_30.json
66,map,yukina-niigata,新潟 (Niigata),ahkimn,Yukina-,https://github.com/ahkimn,0,-50,63,13,63,63,snapshot_2026_03_31.json,snapshot_2026_03_30.json
67,map,naples,Naples,Maximilian284,Maximilian284,https://github.com/Maximilian284,0,-25,61,36,61,61,snapshot_2026_03_31.json,snapshot_2026_03_30.json
68,map,louisville,Louisville,soccerjonj,soccerjonj,https://github.com/soccerjonj,0,-59,59,0,59,59,snapshot_2026_03_31.json,snapshot_2026_03_30.json
69,map,sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,0,-58,58,0,58,58,snapshot_2026_03_31.json,snapshot_2026_03_30.json
70,map,orange-county,Orange County,rslurry,rslurry,https://github.com/rslurry,0,-35,56,21,56,56,snapshot_2026_03_31.json,snapshot_2026_03_30.json
71,map,richmond,Richmond,rslurry,rslurry,https://github.com/rslurry,0,-36,56,20,56,56,snapshot_2026_03_31.json,snapshot_2026_03_30.json
72,map,bari,Bari,Maximilian284,Maximilian284,https://github.com/Maximilian284,0,-25,55,30,55,55,snapshot_2026_03_31.json,snapshot_2026_03_30.json
73,map,mfn-northwestar,Northwest Arkansas,crumpetime,crumpetime,https://github.com/crumpetime,0,-55,55,0,55,55,snapshot_2026_03_31.json,snapshot_2026_03_30.json
74,map,cairo,Cairo,ryandicicco,ryandicicco,https://github.com/ryandicicco,0,-16,54,38,54,54,snapshot_2026_03_31.json,snapshot_2026_03_30.json
75,map,albany,Albany,soccerjonj,soccerjonj,https://github.com/soccerjonj,0,-42,53,11,53,53,snapshot_2026_03_31.json,snapshot_2026_03_30.json
76,map,mfn-lasvegas,Las Vegas,crumpetime,crumpetime,https://github.com/crumpetime,0,-6,52,46,52,52,snapshot_2026_03_31.json,snapshot_2026_03_30.json
77,map,yukina-hakodate,函館 (Hakodate),ahkimn,Yukina-,https://github.com/ahkimn,0,-47,52,5,52,52,snapshot_2026_03_31.json,snapshot_2026_03_30.json
78,map,nashville,Nashville,soccerjonj,soccerjonj,https://github.com/soccerjonj,0,-50,50,0,50,50,snapshot_2026_03_31.json,snapshot_2026_03_30.json
79,map,rochester,Rochester,rslurry,rslurry,https://github.com/rslurry,0,-37,50,13,50,50,snapshot_2026_03_31.json,snapshot_2026_03_30.json
80,map,jacksonville,Jacksonville,rslurry,rslurry,https://github.com/rslurry,0,-37,48,11,48,48,snapshot_2026_03_31.json,snapshot_2026_03_30.json
81,map,florence,Florence,Maximilian284,Maximilian284,https://github.com/Maximilian284,0,-34,47,13,47,47,snapshot_2026_03_31.json,snapshot_2026_03_30.json
82,map,greater-baltimore,Greater Baltimore,rslurry,rslurry,https://github.com/rslurry,0,-35,45,10,45,45,snapshot_2026_03_31.json,snapshot_2026_03_30.json
83,map,genoa,Genoa,Maximilian284,Maximilian284,https://github.com/Maximilian284,0,-27,44,17,44,44,snapshot_2026_03_31.json,snapshot_2026_03_30.json
84,map,bologna,Bologna,Maximilian284,Maximilian284,https://github.com/Maximilian284,0,-29,41,12,41,41,snapshot_2026_03_31.json,snapshot_2026_03_30.json
85,map,yukina-nagasaki,長崎 (Nagasaki),ahkimn,Yukina-,https://github.com/ahkimn,0,-40,41,1,41,41,snapshot_2026_03_31.json,snapshot_2026_03_30.json
86,map,turin,Turin,Maximilian284,Maximilian284,https://github.com/Maximilian284,0,-32,40,8,40,40,snapshot_2026_03_31.json,snapshot_2026_03_30.json
87,map,catania,Catania,Maximilian284,Maximilian284,https://github.com/Maximilian284,0,-25,39,14,39,39,snapshot_2026_03_31.json,snapshot_2026_03_30.json
88,map,trondheim-val,Trondheim,Valdotorium,Valdotorium,https://github.com/Valdotorium,0,-28,39,11,39,39,snapshot_2026_03_31.json,snapshot_2026_03_30.json
89,map,orlando,Orlando,rslurry,rslurry,https://github.com/rslurry,0,-18,36,18,36,36,snapshot_2026_03_31.json,snapshot_2026_03_30.json
90,map,san-juan,San Juan,rslurry,rslurry,https://github.com/rslurry,0,-21,36,15,36,36,snapshot_2026_03_31.json,snapshot_2026_03_30.json
91,map,yukina-toyama,富山 (Toyama),ahkimn,Yukina-,https://github.com/ahkimn,0,-34,34,0,34,34,snapshot_2026_03_31.json,snapshot_2026_03_30.json
92,map,memphis,Memphis,rslurry,rslurry,https://github.com/rslurry,0,-32,32,0,32,32,snapshot_2026_03_31.json,snapshot_2026_03_30.json
93,map,santa-barbara,Santa Barbara,rslurry,rslurry,https://github.com/rslurry,0,-32,32,0,32,32,snapshot_2026_03_31.json,snapshot_2026_03_30.json
94,map,spokane,Spokane,ryandicicco,ryandicicco,https://github.com/ryandicicco,0,-5,30,25,30,30,snapshot_2026_03_31.json,snapshot_2026_03_30.json
95,map,yukina-nakaumi,中海 (Nakaumi),ahkimn,Yukina-,https://github.com/ahkimn,0,-28,28,0,28,28,snapshot_2026_03_31.json,snapshot_2026_03_30.json
96,map,garda-lake,Garda Lake,Maximilian284,Maximilian284,https://github.com/Maximilian284,0,-26,26,0,26,26,snapshot_2026_03_31.json,snapshot_2026_03_30.json
