rank,project_key,project_name,author,author_alias,attribution_link,listing_count,total_downloads,adjusted_total_downloads,latest_snapshot
14,crumpetime/sb-maps-hkg,sb-maps-hkg,crumpetime,crumpetime,https://github.com/crumpetime,1,322,296,snapshot_2026_03_31.json
15,kronifer/sb-zurich-map,sb-zurich-map,Kronifer,Kronifer,https://github.com/Kronifer,1,275,225,snapshot_2026_03_31.json
16,kronifer/sb-dublin-map,sb-dublin-map,Kronifer,Kronifer,https://github.com/Kronifer,1,239,175,snapshot_2026_03_31.json
17,nzh0172/sb-anymoney,sb-anymoney,nzh0172,nzh0172,https://github.com/nzh0172,1,236,236,snapshot_2026_03_31.json
18,kronifer/sb-glasgow-edinburgh-map,sb-glasgow-edinburgh-map,Kronifer,Kronifer,https://github.com/Kronifer,1,197,197,snapshot_2026_03_31.json
19,transitcore/cinematic-camera,cinematic-camera,TransitCore,TransitCore,https://github.com/TransitCore,1,162,162,snapshot_2026_03_31.json
20,willbarouch/subwaybuilder-sydney,subwaybuilder-sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,1,155,137,snapshot_2026_03_31.json
21,kronifer/sb-waterloo-map,sb-waterloo-map,Kronifer,Kronifer,https://github.com/Kronifer,1,122,43,snapshot_2026_03_31.json
22,barkuperman/tlv-mod,TLV-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,112,29,snapshot_2026_03_31.json
23,crumpetime/sb-maps-msn,sb-maps-msn,crumpetime,crumpetime,https://github.com/crumpetime,1,104,44,snapshot_2026_03_31.json
24,danield1909/improvedtwincities,improvedTwinCities,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,92,36,snapshot_2026_03_31.json
25,crumpetime/sb-maps-orf,sb-maps-orf,crumpetime,crumpetime,https://github.com/crumpetime,1,85,26,snapshot_2026_03_31.json
26,barkuperman/jerusalem-sb-map,jerusalem-sb-map,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,81,22,snapshot_2026_03_31.json
27,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps,Maximilian284,Maximilian284,https://github.com/Maximilian284,4,78,78,snapshot_2026_03_31.json
28,soccerjonj/providence,Providence,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,72,13,snapshot_2026_03_31.json
29,soccerjonj/colorado-ski-country,Colorado-Ski-Country,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,71,12,snapshot_2026_03_31.json
30,nzh0172/sb-malaysia-map-pack,sb-malaysia-map-pack,nzh0172,nzh0172,https://github.com/nzh0172,1,66,27,snapshot_2026_03_31.json
31,soccerjonj/louisville,Louisville,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,59,0,snapshot_2026_03_31.json
32,soccerjonj/sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,58,0,snapshot_2026_03_31.json
33,crumpetime/sb-maps-xna,sb-maps-xna,crumpetime,crumpetime,https://github.com/crumpetime,1,55,0,snapshot_2026_03_31.json
34,soccerjonj/albany,Albany,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,53,11,snapshot_2026_03_31.json
35,crumpetime/sb-maps-las,sb-maps-las,crumpetime,crumpetime,https://github.com/crumpetime,1,52,46,snapshot_2026_03_31.json
36,soccerjonj/nashville,Nashville,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,50,0,snapshot_2026_03_31.json
37,pswbsf/piedmont-triad,piedmont-triad,PSWBSF,PSWBSF,https://github.com/PSWBSF,1,21,18,snapshot_2026_03_31.json
38,pswbsf/dayton-oh,dayton-oh,PSWBSF,PSWBSF,https://github.com/PSWBSF,1,7,7,snapshot_2026_03_31.json
39,pswbsf/wilmington-nc,wilmington-nc,PSWBSF,PSWBSF,https://github.com/PSWBSF,1,7,7,snapshot_2026_03_31.json
40,metatablestudios/subwaybuilder-romania,subwaybuilder-romania,metatablestudios,metatablestudios,https://github.com/metatablestudios,1,6,6,snapshot_2026_03_31.json
41,bobby-047/some-new-trains,Some-new-Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,0,0,snapshot_2026_03_31.json
