rank,listing_type,id,name,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,latest_snapshot
28,map,sydney,Sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,155,137,snapshot_2026_03_31.json
29,map,winnipeg,Winnipeg,devenperez,devenperez,https://github.com/devenperez,153,89,snapshot_2026_03_31.json
30,map,los-angeles-county,Los Angeles County,rslurry,rslurry,https://github.com/rslurry,148,131,snapshot_2026_03_31.json
31,map,yukina-sapporo-chitose,札幌 (Sapporo),ahkimn,Yukina-,https://github.com/ahkimn,148,76,snapshot_2026_03_31.json
32,map,milan,Milan,Maximilian284,Maximilian284,https://github.com/Maximilian284,141,141,snapshot_2026_03_31.json
33,map,yukina-hiroshima-kure,広島 (Hiroshima),ahkimn,Yukina-,https://github.com/ahkimn,130,62,snapshot_2026_03_31.json
34,map,rome,Rome,Maximilian284,Maximilian284,https://github.com/Maximilian284,128,117,snapshot_2026_03_31.json
35,map,waterloo,Region of Waterloo,Kronifer,Kronifer,https://github.com/Kronifer,122,43,snapshot_2026_03_31.json
36,map,yukina-okinawa,沖縄 (Okinawa),ahkimn,Yukina-,https://github.com/ahkimn,120,58,snapshot_2026_03_31.json
37,map,tel-aviv,Tel Aviv,BarKuperman,BarKuperman,https://github.com/BarKuperman,112,29,snapshot_2026_03_31.json
38,map,yukina-kobe-akashi,神戸 (Kōbe),ahkimn,Yukina-,https://github.com/ahkimn,109,36,snapshot_2026_03_31.json
39,map,mfn-madisonwi,Madison,crumpetime,crumpetime,https://github.com/crumpetime,104,44,snapshot_2026_03_31.json
40,map,yukina-sendai,仙台 (Sendai),ahkimn,Yukina-,https://github.com/ahkimn,93,28,snapshot_2026_03_31.json
41,map,greatertwincities,Greater Twin Cities,DanielD1909,DanielD1909,https://github.com/DanielD1909,92,36,snapshot_2026_03_31.json
42,map,yukina-kitakyushu-shimonoseki,北九州 (Kitakyūshū),ahkimn,Yukina-,https://github.com/ahkimn,88,21,snapshot_2026_03_31.json
43,map,mfn-hamptonroads,Norfolk,crumpetime,crumpetime,https://github.com/crumpetime,85,26,snapshot_2026_03_31.json
44,map,yukina-matsuyama,松山 (Matsuyama),ahkimn,Yukina-,https://github.com/ahkimn,85,16,snapshot_2026_03_31.json
45,map,jerusalem,Jerusalem,BarKuperman,BarKuperman,https://github.com/BarKuperman,81,22,snapshot_2026_03_31.json
46,map,baltimore-dc-corridor,Baltimore-DC Corridor,rslurry,rslurry,https://github.com/rslurry,74,59,snapshot_2026_03_31.json
47,map,puerto-rico,Puerto Rico,rslurry,rslurry,https://github.com/rslurry,74,71,snapshot_2026_03_31.json
48,map,tampa-bay,Tampa Bay,rslurry,rslurry,https://github.com/rslurry,74,46,snapshot_2026_03_31.json
49,map,providence,Providence,soccerjonj,soccerjonj,https://github.com/soccerjonj,72,13,snapshot_2026_03_31.json
50,map,rotterdam-the-hague,Rotterdam-The Hague,ryandicicco,ryandicicco,https://github.com/ryandicicco,72,47,snapshot_2026_03_31.json
51,map,colorado-ski-country,Colorado Ski Country,soccerjonj,soccerjonj,https://github.com/soccerjonj,71,12,snapshot_2026_03_31.json
