listing_type,id,name,author,author_alias,attribution_link,project_key,project_name,total_downloads,2026_03_11,2026_03_12,2026_03_13,2026_03_14,2026_03_15,2026_03_16,2026_03_17,2026_03_18,2026_03_19,2026_03_20,2026_03_21,2026_03_22,2026_03_23,2026_03_24,2026_03_25,2026_03_26,2026_03_27,2026_03_28,2026_03_29,2026_03_30,2026_03_31
map,sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,soccerjonj/sacramento,Sacramento,58,10,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
map,orange-county,Orange County,rslurry,rslurry,https://github.com/rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,56,15,6,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
map,richmond,Richmond,rslurry,rslurry,https://github.com/rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,56,17,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
map,bari,Bari,Maximilian284,Maximilian284,https://github.com/Maximilian284,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,55,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,19,0
map,mfn-northwestar,Northwest Arkansas,crumpetime,crumpetime,https://github.com/crumpetime,crumpetime/sb-maps-xna,sb-maps-xna,55,3,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
map,cairo,Cairo,ryandicicco,ryandicicco,https://github.com/ryandicicco,ryandicicco/subway-builder-maps,Subway-Builder-Maps,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,5,0,33,0
map,albany,Albany,soccerjonj,soccerjonj,https://github.com/soccerjonj,soccerjonj/albany,Albany,53,0,0,0,0,0,0,0,0,4,0,4,0,1,0,0,0,0,0,0,44,0
map,mfn-lasvegas,Las Vegas,crumpetime,crumpetime,https://github.com/crumpetime,crumpetime/sb-maps-las,sb-maps-las,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,5,0,28,0
map,yukina-hakodate,函館 (Hakodate),ahkimn,Yukina-,https://github.com/ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,52,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0
map,nashville,Nashville,soccerjonj,soccerjonj,https://github.com/soccerjonj,soccerjonj/nashville,Nashville,50,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
